"id","region_id","name","longitude","latitude","people_count","group_id","climate","house_points","street_points","park_points","business_points","social_points","common_points","total_points","emblem_url","region_name","group_name","year"
48,36,"Ясный",59.9024432464566,51.0128344751827,15.3,6,"условно комфортный климат",36,32,16,13,16,34,147,"https://api.индекс-городов.рф/uploads/city/emblem/769/thumb_772_yasny.png","Оренбургская область","Малый город",2018
49,7,"Гусь-Хрустальный",40.6582871007107,55.6154255052022,53.6,4,"условно комфортный климат",27,27,21,34,31,32,172,"https://api.индекс-городов.рф/uploads/city/emblem/797/thumb_800_Gus-Khrustalny.gif","Владимирская область","Средний город",2018
50,81,"Урус-Мартан",45.5386824217574,43.1317832729266,61.2,4,"условно комфортный климат",32,25,14,9,16,38,134,"https://api.индекс-городов.рф/uploads/city/emblem/803/thumb_806_Urus-Martan.png","Чеченская Республика","Средний город",2018
51,43,"Горно-Алтайск",85.9475888350697,51.937609583223,63.8,4,"условно комфортный климат",36,24,23,23,22,34,162,"https://api.индекс-городов.рф/uploads/city/emblem/836/thumb_839_Gorno-Altaysk.gif","Республика Алтай","Средний город",2018
52,29,"Ивантеевка",37.9184669264509,55.9744276084659,79.3,4,"условно комфортный климат",42,31,27,40,31,38,209,"https://api.индекс-городов.рф/uploads/city/emblem/867/thumb_870_Ivanteevka.gif","Московская область","Средний город",2018
53,76,"Глазов",52.6431610066493,58.1481978582416,92.4,4,"условно комфортный климат",39,35,19,26,26,29,174,"https://api.индекс-городов.рф/uploads/city/emblem/900/thumb_903_Glazov.png","Удмуртская Республика","Средний город",2018
54,29,"Жуковский",38.1095775585047,55.5743628327697,107.9,3,"условно комфортный климат",34,40,30,25,31,45,205,"https://api.индекс-городов.рф/uploads/city/emblem/932/thumb_935_Zhukovskiy.png","Московская область","Большой город",2018
55,8,"Дубовка",44.7908212201304,49.054052490773,13.8,6,"условно комфортный климат",33,24,29,11,20,32,149,"https://api.индекс-городов.рф/uploads/city/emblem/182/thumb_182_Dubovka.png","Волгоградская область","Малый город",2018
56,67,"Первоуральск",59.945720755769,56.8995927101936,122.2,3,"условно комфортный климат",30,24,30,18,27,40,169,"https://api.индекс-городов.рф/uploads/city/emblem/951/thumb_954_Pervouralsk.png","Свердловская область","Большой город",2018
57,80,"Копейск",61.5983318307029,55.0969451949287,148.2,3,"условно комфортный климат",38,29,23,18,16,30,154,"https://api.индекс-городов.рф/uploads/city/emblem/965/thumb_968_Kopeysk.gif","Челябинская область","Большой город",2018
58,36,"Орск",58.552181608376,51.1849085646061,227.9,3,"условно комфортный климат",34,29,12,14,23,34,146,"https://api.индекс-городов.рф/uploads/city/emblem/999/thumb_1002_orsk.gif","Оренбургская область","Большой город",2018
59,9,"Череповец",37.9034500007922,59.128688664238,316.5,2,"условно комфортный климат",42,33,24,29,30,35,193,"https://api.индекс-городов.рф/uploads/city/emblem/1023/thumb_1026_Cherepovets.png","Вологодская область","Крупный город",2018
